Order,Region,Catchment,River,Gauge,Site type,Site sub-type,Site number,Site status,National Grid Reference
1,SWWM,Avon,"Middle Avon, Rugby to Bidford",Bidford,Surface water sites,Surface water level (including tide and lake level) - continuous,2615,open,SP0985451769
2,SWWM,Avon,"Middle Avon, Rugby to Bidford",Rugby,Surface water sites,River flow - continuous,2090,open,SP5029276636
3,SWWM,Avon,"Middle Avon, Rugby to Bidford",Stareton,Surface water sites,River flow - continuous,2019,open,SP3328771535
4,SWWM,Avon,"Middle Avon, Rugby to Bidford",Stratford,Surface water sites,Surface water level (including tide and lake level) - continuous,2093,open,SP2049854852
5,SWWM,Avon,"Middle Avon, Rugby to Bidford",Warwick,Surface water sites,River flow - continuous,2091,open,SP2991265296
6,SWWM,Avon,"Middle Avon, Rugby to Bidford",Warwick Old Budbrooke Road,Surface water sites,Surface water level (including tide and lake level) - continuous,2541,open,SP2643665486
7,SWWM,Avon,"Middle Avon, Rugby to Bidford",Warwick Rothwell Road,Surface water sites,Surface water level (including tide and lake level) - continuous,2543,open,SP2767766134
8,SWWM,Avon,"Middle Avon, Rugby to Bidford",Warwick Wedgnock Lane,Surface water sites,Surface water level (including tide and lake level) - continuous,2542,open,SP2724165718
9,SWWM,Avon,River Arrow & River Alne,Broom,Surface water sites,River flow - continuous,2104,open,SP0863853580
10,SWWM,Avon,River Arrow & River Alne,Henley River,Surface water sites,Surface water level (including tide and lake level) - continuous,2621,open,SP1527966559
11,SWWM,Avon,River Arrow & River Alne,Little Alne,Surface water sites,River flow - continuous,2095,open,SP1416161060
12,SWWM,Avon,River Arrow & River Alne,Studley,Surface water sites,River flow - continuous,2094,open,SP0763463999
13,SWWM,Avon,River Dene in South East Warwickshire,Walton,Surface water sites,Surface water level (including tide and lake level) - continuous,2900,open,SP2860053170
14,SWWM,Avon,River Dene in South East Warwickshire,Wellesbourne,Surface water sites,River flow - continuous,2048,open,SP2727155587
15,SWWM,Avon,River Leam & River Itchen,Eathorpe,Surface water sites,River flow - continuous,2050,open,SP3885368829
16,SWWM,Avon,River Leam & River Itchen,Kites Hardwick,Surface water sites,River flow - continuous,2609,open,SP4675068593
17,SWWM,Avon,River Leam & River Itchen,Southam,Surface water sites,River flow - continuous,2613,open,SP4050362686
18,SWWM,Avon,River Sowe Catchment & The Coventry Area,Blackburn Road,Surface water sites,Surface water level (including tide and lake level) - continuous,2209,open,SP3493083310
19,SWWM,Avon,River Sowe Catchment & The Coventry Area,Charterhouse Br,Surface water sites,Surface water level (including tide and lake level) - continuous,2218,open,SP3440078240
20,SWWM,Avon,River Sowe Catchment & The Coventry Area,Hall Green Road,Surface water sites,Surface water level (including tide and lake level) - continuous,2207,open,SP3577082500
21,SWWM,Avon,River Sowe Catchment & The Coventry Area,Hope Street,Surface water sites,Surface water level (including tide and lake level) - continuous,2213,open,SP3259478873
22,SWWM,Avon,River Sowe Catchment & The Coventry Area,Kenilworth,Surface water sites,Surface water level (including tide and lake level) - continuous,2627,open,SP2958672823
23,SWWM,Avon,River Sowe Catchment & The Coventry Area,Kenilworth Whateleys Drive,Surface water sites,Surface water level (including tide and lake level) - continuous,2540,open,SP2917272073
24,SWWM,Avon,River Stour in South Warwickshire,Shipston,Surface water sites,River flow - continuous,2092,open,SP2604240517
25,SWWM,Avon,River Stour in South Warwickshire,Wimpstone,Surface water sites,River flow - continuous,2200,open,SP2134349236
26,SWWM,Avon,River Stowe Catchment & The Coventry Area,Sir Henry Parkes Rd,Surface water sites,Surface water level (including tide and lake level) - continuous,2215,open,SP3065077380
27,SWWM,Avon,River Stowe Catchment & The Coventry Area,Torrington Ave,Surface water sites,Surface water level (including tide and lake level) - continuous,2216,open,SP2788077700
28,SWWM,Avon,"Upper Avon, River Swift & Clay Coton Brook",Churchover,Surface water sites,River flow - continuous,2117,open,SP5071380684
29,SWWM,Avon,"Upper Avon, River Swift & Clay Coton Brook",Clay Coton,Surface water sites,Surface water level (including tide and lake level) - continuous,2649,open,SP5938176922
30,SWWM,Avon,"Upper Avon, River Swift & Clay Coton Brook",Lilbourne,Surface water sites,River flow - continuous,2088,open,SP5635577779
31,SHWG,Avon,Avon,Bredon,Surface water sites,River flow - continuous,2128,open,SO9206537238
