Gauge,Level,Date
Bewdley,5.82,01/01/1947
Bewdley,5.56,02/11/2000
Bewdley,5.48,26/02/2020
Bewdley,5.43,23/01/2021
Bewdley,5.34,23/02/2022
Bewdley,5.31,13/12/2000
Bewdley,5.24,19/02/2020
Bewdley,5.16,09/11/2000
Bewdley,5.04,12/02/2014
Bewdley,4.99,30/10/1998
Bewdley,4.91,22/01/2008
Bewdley,4.9,07/02/2004
Bewdley,4.85,15/01/2023
Bewdley,4.7,09/02/2014
Bewdley,4.67,25/12/1993
Bewdley,4.66,27/10/1998
Bewdley,4.63,14/02/2002
Bewdley,4.63,13/01/2007
Bewdley,4.58,29/10/2019
Bewdley,4,24/12/2020
Bransford,6.08,21/07/2007
Bransford,5.9,16/02/2020
Bransford,5.71,27/07/2007
Bransford,5.42,03/02/2002
Bransford,5.41,27/10/2019
Bransford,5.38,01/03/1955
Bransford,5.37,06/09/2008
Bransford,5.36,15/07/2012
Bransford,5.22,22/01/2021
Bransford,5.21,09/12/2000
Bransford,5.17,31/10/2000
Bransford,5.14,01/01/1990
Bransford,5.12,25/11/2012
Bransford,5.1,22/02/2022
Bransford,5.09,07/11/2000
Bransford,4.99,27/12/2012
Bransford,4.98,16/01/2008
Bransford,4.97,24/12/2020
Bransford,4.92,13/01/2023
Bransford,4.75,29/02/2020
Bredwardine,6.99,16/02/2020
Bredwardine,6.6,20/01/2021
Bredwardine,6.56,21/02/2022
Bredwardine,6.55,27/10/2019
Bredwardine,6.52,03/02/2002
Bredwardine,6.44,12/01/2023
Bredwardine,6.42,23/10/1998
Bredwardine,6.4,28/12/1994
Bredwardine,6.3,07/03/1998
Bredwardine,6.25,31/10/2000
Bredwardine,6.2,06/09/2008
Bredwardine,6.2,05/02/2004
Bredwardine,5.91,14/10/2018
Bredwardine,5.5,19/12/2020
Bredwardine,5.46,15/01/2023
Bredwardine,5.38,29/02/2020
Bredwardine,4.89,16/03/2019
Bridgnorth,6.02,01/03/1947
Bridgnorth,5.26,02/11/2000
Bridgnorth,5.19,26/02/2020
Bridgnorth,5.15,23/01/2021
Bridgnorth,5.12,23/02/2022
Bridgnorth,5.04,18/02/2020
Bridgnorth,5,13/12/2000
Bridgnorth,4.83,22/01/2008
Bridgnorth,4.75,14/01/2023
Bridgnorth,4.72,28/10/2019
Bridgnorth,4.66,02/03/2020
Bridgnorth,4.55,09/02/2014
Bridgnorth,4.55,17/02/2014
Bridgnorth,4.45,27/07/2007
Bridgnorth,4.45,02/02/2012
Bridgnorth,4.43,08/02/2011
Bridgnorth,4.3,15/06/2019
Bridgnorth,4.24,19/03/2019
Bridgnorth,4.15,24/12/2020
Buildwas,7.5,01/12/1946
Buildwas,7.4,01/12/1947
Buildwas,7.04,02/11/2000
Buildwas,6.79,26/02/2020
Buildwas,6.71,23/02/2021
Buildwas,6.65,22/02/2022
Buildwas,6.56,13/12/2000
Buildwas,6.52,18/02/2020
Buildwas,6.37,08/11/2000
Buildwas,6.17,06/02/2004
Buildwas,6.15,29/10/1998
Buildwas,6.05,22/01/2008
Buildwas,6.02,11/02/2014
Buildwas,5.89,13/02/2002
Buildwas,5.84,14/01/2023
Buildwas,5.82,24/12/1993
Buildwas,5.78,13/01/2007
